Input,Target,Progression
"She's a strong girl,she's doing well.",I'm so relieved.,D
She'll be back to her usual self in no time.,Can I stay with her,N
Your husband is asking for you.,"Oh,thank goodness Can I go to him",D
"Yes,he's eager to see you.",How is he doing,D
"He's still weak,but he's definitely improving.",That's wonderful news,D
He's been worried about you.,And I've been worried sick about him,D
I think seeing you will do him a world of good.,I can't wait to see him.,D 
"We've run some tests,and we've found a mass in your brother's lung.",A mass Is it...cancer,I
We can't say for sure until we do a biopsy.,"But that's what it sounds like,isn't it",I 
It's a possibility. We'll know more soon.,This is just...so much.,I
I understand. This is a lot to take in.,What happens next,I
We'll schedule the biopsy and go from there.,Okay...,D
"The surgery went well,but your grandmother's recovery will be a long process.",How long are we talking about,N
"It's hard to say. Weeks,possibly months.",Months But she's so strong...,D
"She is,and that will help her,but she'll need extensive rehabilitation.",Will she be able to come home,N 
"Eventually,yes,but she may need additional care.",This is a lot to think about.,D
We'll be here to support you every step of the way.,Thank you.,N 
We have some concerns about your nephew's cognitive function.,What kind of concerns,I
He's showing signs of memory loss and confusion.,Is this...serious,I
We need to run some tests to determine the cause.,Could it be Alzheimer's,I
"It's a possibility,but there are other potential causes as well.",This is all happening so fast...,I
"I know,it's overwhelming. We'll figure this out together.",Okay...,D 
Your sister's condition has taken a turn for the worse.,What do you mean,I
Her organs are beginning to fail.,Oh god...is she going to...,I
"We're doing everything we can,but it's not looking good.",Can I see her,I 
Of course. Spend as much time as you need.,This isn't fair...,I
Your friend is out of surgery and in recovery.,Thank goodness How did it go,D
The surgery was successful. We were able to remove the tumor.,That's amazing news,D 
"He'll still need further treatment,but this is a big step.",I'm so relieved. Can I see him,D
"He's still unconscious from the anesthesia,but you can see him soon.",I'll be here waiting.,N 
We'll keep you updated on his progress.,"Thank you so much,doctor.",N 
"The test results are back,and it's not good news. Your aunt's cancer has spread.",Spread How bad is it,I 
It's metastasized to her liver and bones.,Oh no...is there anything you can do,I 
"We can try chemotherapy to slow the progression,but it will be palliative.",Palliative You mean...,I
I know. We're here for you and your family.,Thank you.,D 
We need to talk about your son's behavior.,What about it,N
He's been exhibiting signs of aggression and withdrawal.,Is this normal after what happened,N
"It could be a reaction to the trauma,but we need to assess him for any underlying issues.",Should I be worried,I
Let's not jump to conclusions. We'll observe him and go from there.,"Okay,but I'm concerned.",I
Your wife is showing positive signs of improvement.,Really That's wonderful,D
"Her infection is clearing up,and her vital signs are stable.","Oh,thank goodness",D
"She's still weak,but she's on the right track.",I knew she was a fighter,D
"She'll need to continue her medication and therapy,but she's doing well.",I can't wait to bring her home.,D
We'll discuss her discharge plan soon.,"Thank you,doctor.",N 
"We've stabilized your father for now,but he's still in critical condition.",Thank God... what happens next,N
He'll be moved to the ICU for close monitoring.,Can I see him,N
"You can,but he's unconscious and on a ventilator.","I understand,I just need to be near him.",D
We're doing everything we can.,"I know you are,thank you.",D
We'll keep you updated every step of the way.,Please do.,D 
"I'm so sorry,but we did everything we could.","No... no,it can't be true.",I
He fought hard.,He can't be gone.,I
Would you like some time alone with him,I... I need a minute.,I
"Of course,take all the time you need.",This can't be happening.,I
We're here for you if you need anything.,I just... I don't understand.,I 
"The surgery went well,but there were complications.",Complications What does that mean,I 
"There was excessive bleeding,and he's now in recovery.",Is he going to be okay,I
"He's stable for now,but we need to monitor him closely.",How could this happen,I
We're doing everything we can to ensure a full recovery.,I'm so scared.,D
"We understand,and we're here for you.",Thank you.,D
Your mother is resting comfortably now.,Thank goodness. Can I see her,D
She's still a little groggy from the anesthesia.,"I don't mind,I just want to be with her.",D
I'll let you know when she's fully awake.,"Thank you so much,doctor.",N
"Of course,that's what we're here for.",You've all been so kind.,N
We'll continue to monitor her closely.,I appreciate that.,N 
"The tests are inconclusive,we need more information.",What does that mean,I 
We need to run further tests to get a clearer diagnosis.,Is it serious,I
We won't know until we get the results back.,How long will that take,I
"A few days,possibly a week.",This is so stressful.,I
"We understand,and we'll keep you updated.",Thank you.,I 
We've found a treatment plan that we believe will be effective.,"Oh,thank goodness What is it",D
It's a combination of medication and therapy.,Will she be cured,D
"We're aiming for remission,but it's a long road.",As long as there's hope.,D
"Absolutely,and we'll be with you every step of the way.","Thank you,doctor.",D
We're always here for you.,I'm so grateful.,N 
Your son is awake and asking for you.,"Oh,thank God Can I see him",D
"Absolutely,he's in recovery right now.",Is he going to be okay,D
"He has a long road to recovery,but he's young and strong.",I'm just so relieved he's alive.,D
"We'll discuss the details soon,but for now,just focus on being there for him.",I will.,N 
Thank you for everything.,Of course.,N 
"Your wife is out of surgery,but there were some complications.",Complications What kind,I
There was more damage than we anticipated.,Will she be okay,I
"She's in the ICU now,and we're monitoring her closely.",This is all my fault.,I
"It's not your fault,these things happen.",I should have brought her in sooner.,I 
We're doing everything we can for her right now.,"Please,just save her.",I 
Your brother is showing some positive signs.,Really That's great news,D
He's responding well to the treatment.,So he's going to be okay,D 
"It's too early to say for sure,but we're optimistic.",I can't lose him.,D 
We're doing everything in our power to ensure he pulls through.,Thank you for everything.,D
We'll keep you updated on his progress.,Please do.,N 
"The biopsy results are back,and it's malignant.",Cancer... how bad is it,I
"It's aggressive,but we have a treatment plan.",What are her chances,I 
"It's hard to say at this stage,but we'll fight it with everything we have.",I can't lose her.,I
We'll be with you every step of the way.,Thank you.,I
We understand this is difficult news.,It's just... so much to process.,I 
We have to amputate the leg to stop the infection.,Amputate Isn't there any other way,I
It's the only way to save his life.,This is a nightmare.,I
"I know this is hard to hear,but we need your consent.",I... I don't know what to do.,I 
Take all the time you need.,I just want him to be okay.,I 
We understand.,I just need a minute.,I 
"He's stable for now,but the next few hours are critical.",Can I see him,I
He's in the ICU under sedation.,I just want to be near him.,I
"You can wait in the waiting room,and we'll update you as soon as we can.","Please,just let me see him.",I 
We're doing everything we can for him.,"I know,I just... I'm scared.",I 
We understand.,I just want him to be okay.,D
"We're running some tests,and we should have results soon.",How long is soon,I
It could be a few hours.,This waiting is killing me.,I
"I understand,but we need to be thorough.",I just want to know what's wrong with her.,I
We'll have answers as soon as we can.,I appreciate that.,D
We'll keep you informed.,Thank you.,D 
"The medication seems to be working,but we need to monitor him closely.","That's good news,right",D
It's a step in the right direction.,So he's going to be okay,D
"We're cautiously optimistic,but it's still too early to say for sure.",I just want him to come home.,D
"We all do,and we're doing everything we can to make that happen.",Thank you.,N
We'll keep you updated on his progress.,Please do.,N 
"He's showing signs of improvement,but he's not out of the woods yet.",What does that mean,I
There are still risks of complications.,Like what,I
"Infection,organ failure,it's hard to say.",I can't lose him.,I
We're doing everything we can to prevent that.,"Please,just save him.",I 
We're doing our best.,I know you are.,D 
The transplant was a success,"Oh my God,that's amazing news",D 
"He's in recovery now,and everything looks good.",When can I see him,D
"He'll be in the ICU for a while,but you can see him soon.",I'm so happy.,D
We're thrilled for you too.,Thank you for everything.,D 
You've given us hope.,That's what we're here for.,N 
I'm afraid we've exhausted all our options.,What does that mean,I
There's nothing more we can do medically.,No... there has to be something.,I 
We can focus on keeping her comfortable now.,This can't be the end.,I 
We understand this is difficult to hear.,I don't want to lose her.,I 
We're here for you and your family during this time.,I just... I need a minute.,I 
We need to discuss endoflife care options.,I... I can't.,I 
"We understand this is a difficult conversation,but it's important.",I'm not ready to give up on her.,I 
"We're not giving up,we're just transitioning our focus.",I just... need some time.,I 
"Of course,take all the time you need.",Thank you.,D 
He'll be in the ICU for further monitoring and treatment.,For how long When can I see him,I
It's hard to say at this point. We're taking it hour by hour.,This is all so sudden... I don't know what to do.,I
We're doing everything we can. A specialist will be in soon to talk to you.,Okay... thank you.,D
We'll keep you updated every step of the way.,I appreciate that. Thank you.,D
"The surgery was successful,but there were some complications.",Complications What kind of complications,I
"There was some excessive bleeding,but we were able to manage it.",Is he going to be okay,I
He's stable now and in recovery.,Can I see him,N
"He's still unconscious from the anesthesia,but you can see him soon.",Thank you.,D
We'll let you know when he wakes up.,Thank you so much.,D
Your wife is out of surgery and resting comfortably.,"Oh,thank goodness. Can I see her",D
"She's still in recovery,but you can see her shortly.",Thank you. How did the surgery go,N
It went well. We were able to remove the entire tumor.,That's wonderful news Thank you.,D
"She'll need further treatment,but this is a positive step.",I'm so relieved. Thank you for everything.,D
We're here for you both.,Thank you.,D 
"We've run some tests,and we're concerned about your son's condition.",What's wrong Is he going to be alright,I
He has a rare condition that requires specialized treatment.,Rare condition What does that mean,I
"We're still learning about it,but we have a team of experts working on his case.",I don't understand... this is all happening so fast.,I
We know this is a lot to take in. We're here to support you in any way we can.,Thank you. I just want him to be okay.,D
We're doing everything we can for him.,Thank you.,D 
"Your daughter's test results are back,and it's not the news we were hoping for.",What is it What's wrong,I
It appears to be a more aggressive form of cancer than we initially thought.,Cancer But... how,I
We're still determining the best course of treatment.,What are her options,I
We'll discuss all the possibilities with you and your family.,I just... I don't know what to say.,I
We're here for you every step of the way.,Thank you.,N 
Your brother is showing some positive signs of improvement.,Really That's great news,D 
He's responding well to the treatment.,"Oh,thank goodness. I was so worried.",D 
We're cautiously optimistic about his recovery.,Can I see him,N
"He's still quite weak,but you can visit him for a short while.",Thank you. I can't wait to see him.,D 
We'll continue to monitor his progress closely.,Thank you for everything you're doing.,D 
We have some news about your mother's condition.,Is she okay What is it,I 
She's taken a turn for the worse.,Worse What do you mean,I
Her body isn't responding to the treatment as we'd hoped.,What happens now,I
"We're exploring other options,but we want to be honest about the situation.",I don't... I don't know what to do.,I
We're here for you and your family.,Thank you.,N
Your husband is awake and asking for you.,"Oh,thank God I'll be right there.",D
He's still a bit groggy from the medication.,"That's okay,I just want to see him.",D 
The surgery was a success.,That's such a relief. Thank you.,D
"He has a long road to recovery ahead,but he's strong.",I know he is. We'll get through this together.,D
We'll be here to support you both every step of the way.,Thank you so much.,D 
There's been a slight complication with your wife's recovery.,Complication What happened,I
"She developed a minor infection,but we're treating it with antibiotics.",Is she going to be okay,I 
"We expect a full recovery,but it may take a little longer now.",I see... thank you for letting me know.,D 
We're keeping a close eye on her.,Thank you. I appreciate it.,D 
We'll keep you updated on her progress.,Thank you.,D 
We need to discuss your father's prognosis.,Prognosis What do you mean,I 
"His condition is deteriorating,and we're concerned about his longterm outlook.",But... he was doing better yesterday.,I 
"There's been a setback,and we want to be upfront with you.",I don't understand... what are you saying,I 
We're here to answer any questions you have.,I just... I need a moment.,I 
We understand. Take your time.,Thank you.,N 
Your son is showing remarkable progress.,Really That's amazing,D 
He's exceeding our expectations with his recovery.,I'm so happy to hear that. He's a fighter.,D
We're optimistic about his longterm outlook.,Thank you for everything you've done for him.,D 
We'll continue to monitor his progress closely.,Thank you. We're so grateful.,D
We're all rooting for him.,Thank you.,D
We have some difficult news about your sister.,What is it Is she alright,I 
She's not responding to treatment as we'd hoped.,What does that mean,I 
"We're exploring other options,but we want to prepare you for the possibility that...",That what,I
That she may not have much time left.,No... that can't be right.,I
We're here to support you and your family during this difficult time.,I... I don't know what to say.,I 
"We've stabilized your father for now,but we're still running tests.",Thank goodness Can I see him,N
"He's resting comfortably,but it's best not to disturb him yet.","I understand,but I'm so worried. What's wrong with him",I
"We're still investigating,but we suspect a cardiac event.","Oh no,is he going to be okay",I
We're doing everything we can. We'll know more soon.,I just want to be there for him.,D 
I'll let you know as soon as you can see him.,"Thank you,doctor.",D
"The surgery went well,but there were some complications.",Complications What kind of complications,I
"He lost more blood than expected,but we were able to stabilize him.",Is he going to be alright,I
"He's in the ICU now,and we're monitoring him closely.",Can I see him,I
"Not yet,but I'll update you as soon as possible.",This is just awful. I can't lose him.,I
We're doing everything we can.,"I know,I know",D 
Your mother is out of surgery and in recovery.,"Oh,thank God How did it go",D
"It was successful,but she's still unconscious.","That's okay,as long as she's okay.",N
"She'll likely be groggy when she wakes up,but that's normal.",Can I see her,D
"Yes,you can see her soon.","Thank you so much,doctor.",D
I have some good news. Your wife is awake and responsive.,"Really Oh,thank you",D
"She's still weak,but she's asking for you.",I'm on my way How is she doing otherwise,D
"She's doing well,considering the circumstances.",Thank goodness. I was so worried.,D
We'll continue to monitor her closely.,I won't leave her side.,N
We need to talk about your son's prognosis.,What is it Just tell me.,I 
The tests results are not what we hoped for.,What does that mean,I
It seems the cancer has spread.,Oh no is there anything you can do,I
"We'll discuss treatment options,but it's advanced.",This can't be happening.,I 
We'll do our best to make him comfortable.,I don't know what to do,I
"Your daughter is stable,but the next few hours are critical.",I'm so scared. What happened,I
She had a severe allergic reaction.,Will she be okay,I
We're giving her the best possible care.,I can't lose her.,I
We're doing everything we can.,"Please,just save her.",I
We'll keep you updated.,I'm just going to pray.,I 
There's been a change in your husband's condition.,What is it Is he okay,I
He took a turn for the worse.,"Oh God,no",I
We're doing everything we can to stabilize him.,"Please,you have to save him.",I
We're doing our best.,He can't he can't leave me.,I
I understand this is difficult.,I just want him back.,I 
"The test results are back,and it's not good news.",What is it Tell me.,I 
Your brother's condition is more serious than we initially thought.,How serious,I 
He'll require extensive treatment.,Will he be okay,I
We can't say for certain right now.,This is a nightmare.,I
We'll discuss all options with you.,I just want him to get better.,I 
I'm afraid I have some bad news.,What is it,I
Your friend didn't make it.,"No no,that can't be.",I 
I'm so sorry.,I I don't understand.,I
We did everything we could.,He can't be gone.,I
I know this is hard to process.,I need to see him.,I
We need to discuss your grandmother's care plan.,What do you mean,N
She's not responding to treatment as we hoped.,Is she going to be alright,I
"We need to consider other options,including hospice care.",Hospice You're giving up on her,I 
It's about providing her with comfort and dignity.,I can't just let her go.,I
We'll discuss this further with your family.,I need some time to think.,I 
Your nephew is showing signs of improvement.,Really That's wonderful,D
"He's still weak,but he's responding well to treatment.",Can I see him,D
"Yes,you can visit him soon.",Thank you so much This is the best news.,D
We'll continue monitoring him closely.,I'm just so relieved.,D 
I have an update on your sister's condition.,How is she doing,I 
"She's stable for now,but the situation is delicate.",What does that mean,I 
We're monitoring her very closely.,Is she going to be okay,I
We're doing everything we can.,I can't lose her.,I
We understand your concern.,Just please keep me informed.,I 
We need to talk about your father's treatment options.,What are they,N
"There are several possibilities,each with risks and benefits.",I just want what's best for him.,N
We'll go over each option in detail.,I need to understand everything.,N
We'll make sure you have all the information you need.,"Thank you,doctor.",N
We'll make this decision together.,I appreciate that.,N 
Your wife is asking for you.,I'll be right there.,N
She seems to be in good spirits.,That's a relief.,N 
She's eager to see you.,I can't wait to see her too.,N
I'll let you two have some privacy.,"Thank you,doctor.",N
I'm sure she'll be happy to see you.,I'm sure I will too.,N 
We have some concerns about your son's test results.,What kind of concerns,I 
There are some irregularities that require further investigation.,Is he going to be okay,I
We need to run more tests to be sure.,This is so stressful. What could it be,I 
We're looking into several possibilities.,I just want to know what's wrong.,I 
We'll keep you informed every step of the way.,Thank you.,D 
Your daughter's surgery was a success.,"Oh,thank goodness Can I see her",D
"She's still in recovery,but you can see her soon.",Thank you so much How is she doing,D
"She's still groggy,but she's doing well.",I'm so relieved.,D 
We'll continue to monitor her closely.,I can't wait to see her.,D 
Thank you for everything.,It's our pleasure.,N 
"We've stabilized your son for now,but he's still unconscious.",Thank God. When will he wake up,N
It's too early to say. We're monitoring him closely.,"But he's going to be okay,right",I
We're doing everything we can.,I just...I need to know he'll be alright.,I
I understand. We'll keep you updated.,Okay. Thank you.,D
You're welcome.,Can I see him,N
"She's a fighter,but this is serious.","I know,doctor. It's just...so sudden.",I
We're giving her the best possible care.,"She's all I have. Please,you have to help her.",I 
We're doing everything we can.,I can't...I can't lose her.,I
I understand this is difficult.,"Just please,keep trying.",D
Of course. We'll keep you informed.,Thank you.,N 
The surgery was successful.,"Oh,thank goodness Can I see him",D
"He's still in recovery,but you can see him soon.",How is he doing Is he in pain,N
"He's still groggy,but the surgery went well.",I was so worried. This is such a relief.,D
We'll monitor him closely over the next few hours.,"Thank you for everything,doctor.",D
That's what we're here for.,Can I stay with him,N 
We're going to run some more tests.,More tests But you said she was stable.,I
We just want to be thorough.,Is it bad news Is something wrong,I
We don't have the results yet.,This is agonizing. I can't take much more of this.,I
I understand. We'll have answers as soon as possible.,"Please,just tell me the truth.",I
"We will,as soon as we know more.",Okay. I'm just scared.,D
He's resting comfortably now.,When can I take him home,N 
We'll need to monitor him for a few days.,But he seems fine. Can't he recover at home,N
It's important to keep him here for observation.,I just hate seeing him stuck in a hospital bed.,I
"I understand,but it's for his own good.","I know,I know. It's just hard.",D
We'll do our best to make him comfortable.,Thank you.,N
The next few hours are critical.,What are you saying Is she going to die,I
"We're doing everything we can,but her condition is serious.","No,no,no. This can't be happening.",I
We'll keep you updated.,"Please,you have to save her.",I
We're trying our best.,She's too young...she can't...,I
I know. This is very difficult.,I don't know what I'll do if...,I
We need to discuss options.,Options What options,N 
There are different treatment paths we can take.,Just tell me what's best for him.,N
Each has its own risks and benefits.,I don't understand all this medical talk. Just tell me what to do.,I
We need to make a decision together.,I can't...I don't know what to do.,I
We'll guide you through it.,"Okay. Just please,do what's right for him.",D 
We need to talk about quality of life.,What do you mean,I
We're concerned about his comfort and dignity.,Are you saying there's no hope,I
We want to make sure he's not suffering.,I can't...I can't lose him.,I
We'll do everything we can to ease his pain.,This isn't fair.,I
I know. This is a difficult time.,I just want him to be okay.,D 
His vitals are stable.,Is he awake Can I see him,D
"He's still unconscious,but that's normal after surgery.",When will he wake up,N 
It's hard to say. Everyone recovers differently.,I just want to hear his voice.,I 
I understand. We'll let you know as soon as he's awake.,Thank you.,D
Of course.,Can I stay here with him,N 
I'm afraid it's not good news.,What is it What's wrong,I
The tests confirmed our concerns.,Is it serious How serious,I 
It's a very aggressive form of cancer.,Cancer But...how,I
"We'll discuss treatment options,but it's advanced.",This can't be happening. There has to be something you can do.,I
We'll do everything we can.,"Please,doctor. You have to save him.",I
We've had a setback.,What happened Is he alright,I
There were complications during the procedure.,Complications What kind of complications,I
He's lost a lot of blood and we're working to stabilize him.,Is he going to be okay Tell me he's going to be okay.,I
We're doing everything we can.,I can't lose him. He's all I have left.,I
I understand. We'll keep you informed.,"Please,just save him.",I 
She's asking for you.,Really Can I go see her,D
Of course. She'd love that.,This is wonderful news Is she getting better,D
"She's still very weak,but she's lucid.",I don't care. I just want to see her.,D
Follow me.,"Thank you,doctor. Thank you so much.",D 
You're welcome.,How long do I have,N 
"It's difficult to say. Could be weeks,could be months.",I see. And then what,N 
We'll focus on keeping you comfortable.,I don't want to be a burden.,I 
You're not a burden. You're our patient and we'll care for you.,Thank you. I appreciate that.,D
Of course.,Can my family come visit,N 
We have to discuss endoflife care.,Endoflife care Are you saying...,I
We need to prepare for all possibilities.,I'm not ready for this. She's not ready.,I
I understand. This is a difficult conversation.,I can't...I can't talk about this right now.,I
"We can talk later,when you're ready.",Okay. Just give me a minute.,D 
We may need to amputate.,Amputate His leg,I
It's the only way to stop the infection from spreading.,But...he's so young. How will he live with only one leg,I
We'll have a team of specialists help him adjust.,This is a nightmare. This can't be happening.,I
I know this is a lot to process.,He's going to be devastated.,I
We'll support him every step of the way.,I just want him to be okay.,D 
He's asking for you.,Really Can I go see him,D 
Of course. He's been asking for you all day.,This is the best news I've heard all week.,D
"He's still weak,but he's happy you're here.",I'm never leaving his side again.,D
I'll take you to him.,"Thank you,doctor.",D 
You're welcome.,Can I hold her,N 
"She's very fragile,but yes,you can hold her.",I just want to feel her close to me.,N 
I understand.,She's so tiny.,N 
"She is,but she's a fighter.",I'll never let anything happen to her.,D 
I know you won't.,Can I take her home soon,N 
"We've stabilized your father for now,but his condition is still critical.",Thank goodness... what happens next,N
He's on a ventilator and we're monitoring him closely.,Will he... will he be okay,I
It's too early to say for sure. We're doing everything we can.,I just... I can't lose him.,I
I understand. We'll keep you updated every step of the way.,"Thank you,doctor.",D
We'll do our best.,...Okay.,N
"The surgery was successful,but there were complications.",Complications What does that mean,I
"There was excessive bleeding,but we were able to control it.",Oh god... is he going to be alright,I
"He's in recovery now,but it's crucial to monitor him closely.",I just want him to be okay. This is all so sudden.,I
"We're doing everything we can,and we'll keep you informed.","Thank you,doctor. I... I don't know what I'd do without him.",D
"Your mother is out of surgery,but she's still unconscious.",Okay... when will she wake up,N
It's hard to say. It could be a few hours or a few days.,Days But why so long,I
Her body needs time to recover from the anesthesia and the procedure.,This is just... so hard. I want to see her.,I
I understand. We'll let you know as soon as she wakes up.,Thank you.,D
We've run some tests and we're still not sure what's causing the symptoms.,More tests You've been testing him for weeks,I
"We're doing our best to get a diagnosis,but it's a complex case.",This is so frustrating I just want to know what's wrong.,I
I understand your frustration. We'll continue investigating until we find answers.,"He's getting worse,isn't he",I
We're doing everything we can to manage his symptoms.,I just... I don't know how much more of this I can handle.,I
"Your brother is stable,but he has a long road to recovery ahead.",Recovery From a broken leg,D 
There were internal injuries that require extensive rehabilitation.,Rehab How long are we talking,N
"He is,and that's in his favor,but it will take time and effort.",I see...,D
We'll be with him every step of the way.,Thank you.,N
We need to discuss endoflife care options for your grandmother.,Endoflife What are you saying,I
"Her condition is deteriorating rapidly,and there's little more we can do.","No... no,she can't... she can't die.",I
I know this is difficult to hear. We'll support you through this.,This is a nightmare. I'm not ready to lose her.,I
We'll focus on making her comfortable and managing her pain.,I just... I need a minute.,I
Your son is showing positive signs of improvement.,Really That's amazing news,D 
"Yes,his response to the treatment is encouraging.","Oh,thank goodness. We were so worried.",D
"He's still got a ways to go,but this is a step in the right direction.",This is the best news we've had in weeks.,D
We'll continue monitoring him closely and adjust his treatment plan as needed.,Thank you for everything you're doing.,D
The test results are inconclusive. We need to run more tests.,More tests  How many more,I
We want to be thorough and rule out any underlying conditions.,This is taking forever  When will we have answers,I
I understand your impatience. We're working as quickly as we can.,I just want to know what's wrong with her.,I 
"We found a tumor,but we need to do a biopsy to determine if it's malignant.",A tumor  Is it... is it cancer,I
We won't know for sure until we get the biopsy results.,This can't be happening.  She's too young.,I
I understand this is a lot to process. We'll discuss the next steps after the biopsy.,I... I don't know what to say.,I
We were able to remove the entire tumor during surgery.,That's... that's wonderful news,D 
"Yes,it went better than we expected.","Oh,thank God.  Does this mean he's okay",D
"We'll still need to monitor him closely,but this is a major victory.",I can't believe it.  After all this...,D
We're all very happy for you.,Thank you.  Thank you so much.,D 
"Your wife's heart is failing,and she may need a transplant.",A transplant Oh my god... how serious is this,I
"It's very serious,but a transplant could significantly improve her prognosis.",This is all happening so fast... I don't know what to think.,I
"I know this is overwhelming,but we'll guide you through every step.",We have a family... young kids... this can't be happening.,I
We'll do everything we can to support you and your family.,I just... I want her to be okay.,I
Your daughter's condition is deteriorating. We're running out of options.,"No... no,you have to do something",I
"We're doing everything we can,but her body isn't responding to treatment.",This can't be the end... she's just a child.,I
Your father passed away peacefully a few moments ago.,He's... he's gone,I
"Yes,I'm so sorry.",I... I don't... I don't know what to say.,I 
Your sister is showing signs of rejecting the transplant.,Rejection What does that mean,I
Her body is trying to fight the new organ.,But... but the transplant was supposed to save her,I
"He's on a ventilator to assist with breathing,and we're monitoring him closely.",Is he... is he in pain,N
"We're managing his pain with medication,and he appears comfortable at the moment.","Can I see him Please,I need to see him.",I
"You can,but he's sedated and may not be responsive.","I understand,but I still need to be there.",I
"Of course,I'll take you to him now.","Thank you,doctor.",D 
"We've run some tests,and it seems your wife has a severe infection.",How... how bad is it,N 
"She's responding well to the antibiotics,but it's early to say definitively.",Will she be okay She has to be.,I
"We're doing everything we can,and she's showing positive signs.",I can't... I can't lose her.,I
We're going to keep a close eye on her progress.,I need to be with her.,I 
"Of course,you can stay by her side.",Thank you.,D 
"Your son's surgery was successful,but there were complications.",Complications What kind of complications,N 
"He experienced some blood loss,but we were able to stabilize him.",Is he going to be alright,I 
"He's in the ICU now,and we're monitoring him closely.",I don't understand... the surgery was supposed to be routine.,I 
We're doing everything we can to ensure his recovery.,Can I see him,I 
"You can,but he'll be groggy from the anesthesia.",I need to be there.,D
"Your sister is showing signs of improvement,but she's still weak.","That's good to hear,but when can I talk to her",N
We're limiting her interactions for now to let her rest.,But she's awake Can't I just say a few words,I
It's important for her to conserve her energy.,I just want her to know I'm here.,I
"She knows you're here,and that's what matters.",Can I at least see her,D
I'll check if it's alright for a brief visit.,Thank you.,D
"Your husband's test results are concerning,and we need to discuss options.","What do you mean,concerning",N
There are some abnormalities that require further investigation.,Is it... is it serious,I
We need to do more tests to determine the extent of the issue.,How bad could it be,I
It's too early to say for certain.,"I'm scared,doctor.",I 
"I understand,and we'll have more information soon.","Please,just be honest with me.",D
"We've done everything we can,but your mother's condition is worsening.","No... no,she can't...",N
She's comfortable and not in any pain.,"But she's not giving up,is she",I 
"She's a fighter,but her body is tired.",I can't... I can't lose her.,I
We'll be here with you both every step of the way.,I don't know what to do.,I 
"The medication seems to be working,and your friend is showing improvement.","Oh,thank goodness. Can I see him",N
"He's still a bit disoriented,but you can visit him briefly.",I've been so worried. This is such a relief.,D 
We'll continue monitoring his progress closely.,Will he be okay Fully recover,N
"It's too early to say for sure,but the signs are positive.",I just want him back to his old self.,I
"Your daughter's condition has stabilized,but she's still unconscious.",When will she wake up,N
"It's difficult to say. It could be hours,days,or even longer.",This is all my fault... I should have been more careful.,I 
This isn't your fault. Accidents happen.,But she's so young... she shouldn't be going through this.,I 
"She's strong,and she's getting the best care possible.",I just want her to open her eyes.,I
We've had to perform an emergency surgery on your brother.,Emergency surgery Why What happened,N
He had a sudden rupture that required immediate attention.,Is he... is he going to make it,I
"The surgery went well,but he's still in a critical condition.","I can't lose him,doctor. He's all I have left.",I 
We're doing everything in our power to save him.,"Please,you have to save him.",I 
"Your grandfather is resting comfortably now,but his condition is terminal.",Terminal How much time does he have,N
"It's difficult to say,but it could be a matter of weeks.",Weeks... But he was just fine yesterday.,I
His condition has been deteriorating for some time now.,I can't... I can't accept this.,I 
We'll make sure he's comfortable and not in any pain.,I don't want to say goodbye.,I
"We were able to resuscitate your son,but there may be brain damage.",Brain damage How bad,N
It's too early to assess the extent of the damage.,Will he... will he ever be the same,I
We'll need to wait and see how he responds in the coming days.,This isn't fair... he's just a child.,I
We're doing everything we can to give him the best chance possible.,I just want my son back.,I 
Your wife is showing signs of rejecting the transplanted organ.,Rejection What does that mean,N 
Her body is trying to fight off the new organ.,But... she needs that organ to survive.,I 
We're adjusting her medication to suppress her immune system.,Will it work She has to get better.,I
"We're hopeful,but there's no guarantee.","I can't lose her,not after everything we've been through.",I 
Your father wants to talk to you about his endoflife wishes.,Endoflife wishes Is he... is he giving up,N
He wants to make sure his wishes are respected.,I can't... I can't talk about this right now.,I 
It's important to have this conversation.,I just want him to keep fighting.,I
"He's fought long and hard,but he's tired.","Please,just give him more time.",I
"The surgery was successful,and your friend is recovering well.","Thank you,doctor. That's such a relief.",N
"He'll need some time to heal,but he's expected to make a full recovery.",I can't wait to see him.,D 
He's asking for you.,I'll be there right away.,D
I'm sure he'll be happy to see you.,"Thank you for everything,doctor.",D
Your daughter is awake and asking for you.,"Oh,thank God I'll be right there.",N 
"She's still a bit groggy,but she's doing well.",I can't wait to see her.,D
I'll take you to her room.,"Thank you so much,doctor.",D 
"We've stabilized your sister's condition,but she has a long road to recovery ahead.","As long as she's alive,that's all that matters.",N
"She's a fighter,and we'll be with her every step of the way.","I'll be there for her too,always.",D
He's resting comfortably. You can see him soon.,This is such a relief. Thank you.,D
We're doing everything we can.,I know you are. We appreciate it.,D
We'll have a clearer picture after the tests.,"Okay,just let me know what we're looking at.",N 
I will. We'll keep you updated.,Thank you again.,D 
"The surgery went well,but there were complications.",Complications What kind of complications,I
There was some unexpected bleeding.,Is he going to be alright,I
We're monitoring him closely.,I don't understand. I thought you said the surgery went well.,I 
"It did,but these things can happen.",How bad is it,I
We'll know more soon.,This is a nightmare.,I
"We're still running tests,but things aren't looking good.",What do you mean,I
The cancer seems to have spread.,Spread How much,I
We're waiting on the full report.,This can't be happening.,I 
I know this is difficult to hear.,What are our options,I
We'll discuss everything when we have more information.,I just... I don't know what to say.,I 
"Your wife is a fighter,but her condition is worsening.","No. No,that can't be right.",I
